,chr,link
0,我,#/entry/zhko/a163884686ac406abadf39a35d06c9f5
1,的,#/entry/zhko/774d30af491e4b63b4078562965565f8
2,你,#/entry/zhko/8a51361487454641bc44d21613ca6001
3,是,#/entry/zhko/8af21dd8f9df41c19c87d9189302fa1a
4,了,#/entry/zhko/fa45a9aa7bc24b0da374f8d147a6279c
5,不,#/entry/zhko/8f5c09bedf324bc49d1b4f4e590ff8e8
6,们,#/entry/zhko/a4dce4b8e2b742abab8555684e8d845f
7,这,#/entry/zhko/b5d0433633d74f85b7b9bd9fe28d3a7d
8,一,#/entry/zhko/8500c302bffc4c679ae96f1502cae41b
9,他,#/entry/zhko/6f9bf56beea4480aa195ff7663c1a00f
10,么,#/entry/zhko/030ffe341a2f4135b44d0b1640580778
11,在,#/entry/zhko/c2e396cc63d0460dbb2cfc0a315b0cf1
12,有,#/entry/zhko/028a240cec1246f68247670686d750c5
13,个,#/entry/zhko/2ccee986adc6449899c3f2eff6b54099
14,好,#/entry/zhko/2f2072ca48fe4153b63f6d7d8c664b09
15,来,#/entry/zhko/f58c7f65ac2242b491268f4a4b6a831d
16,人,#/entry/zhko/7f6ef11496e949fe8aef2de9bc4944a3
17,那,#/entry/zhko/e74c93c6ee9949dca7d2773fc7614b92
18,要,#/entry/zhko/82ba79159d5c49d8adb5d222e35beee6
19,会,#/entry/zhko/3ddbcc9e13a1471ca57c764c1fb22c4f
20,就,#/entry/zhko/1a185928a0a240658771e4f268dba3b0
21,什,#/entry/zhko/04ccdf73c2f04b758ec1cab64f28f895
22,没,#/entry/zhko/364170246f434d59924145c974500630
23,到,#/entry/zhko/764641fe060d415480e9a70505cf058b
24,说,#/entry/zhko/54f0342ee78744e8ae3b7e2e345318db
25,吗,#/entry/zhko/030ffe341a2f4135b44d0b1640580778
26,为,#/entry/zhko/6a9aff7f56a34cdda123aa411c1d70a8
27,想,#/entry/zhko/ac59307bfd644b679fbe16bd6675fa0a
28,能,#/entry/zhko/1e586ecf22a9432885968e1c4cd9f183
29,上,#/entry/zhko/e67ed72dbab2447f84f4f4bdc586a063
30,去,#/entry/zhko/0f9c402510084f959574b36e987b81ba
31,道,#/entry/zhko/2542366336044a2f810c8fd2d69b7859
32,她,#/entry/zhko/2915beed35374aa0918f5d78b47fef6e
33,很,#/entry/zhko/d6cd15c508df4f1e9546d3dca900dcc4
34,看,#/entry/zhko/9f9a6069eeb04015a3a0296caea77a47
35,可,#/entry/zhko/6339d6947a904ab6b1afdf285dcbeac8
36,知,#/entry/zhko/a42f1fcb4bc64bfcbc31c87aad7a1417
37,得,#/entry/zhko/9cadf27e754b4386af3c98c9167ae60c
38,过,#/entry/zhko/5536d41f42d24ab9a5d3024babd1ff9e
39,吧,#/entry/zhko/2411c2ac98a24f5bbf8d21c45c24cf33
40,还,#/entry/zhko/a3df0fc5b3c743f3ba745e82bff5a542
41,对,#/entry/zhko/cc44d0a3a30c42a997f517ffe64586e5
42,里,#/entry/zhko/e42acc378a9c4c56859e399afe04423a
43,以,#/entry/zhko/15b64780134546d8b6ad6b9d394c4adc
44,都,#/entry/zhko/b606d0e7a14b464f802c223d2193120a
45,事,#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5
46,子,#/entry/zhko/afc0a77247e74dfcb69171bfffd2bc5a
47,生,#/entry/zhko/df5ba42276cf49968bc88517db7d146f
48,时,#/entry/zhko/35d9a75c775941d6b00f2c0abf0299d8
49,样,#/entry/zhko/3cac805687e8427db1294f945292b4dd
50,也,#/entry/zhko/cf9850157757497cadb2c9327a376a4d
51,和,#/entry/zhko/d031fbb41e1b4725845a70349a1b4fb3
