,0,1
0,入,#/entry/zhko/b4754faacdef4028b2c80e433c9a7ba6
1,照,#/entry/zhko/7e7dd64574084573a1cc4a6cc0ee7222
2,提,#/entry/zhko/191aaa856c5d4c28a98581ec94ae1f7f
3,掉,#/entry/zhko/4853ccc938ee48189bda312e636a7cd9
4,夫,#/entry/zhko/dd2c13fdda9c48e0bc960a4f58742d9a
5,路,#/entry/zhko/41e673518ffc48d8a180dd14ca064852
6,演,#/entry/zhko/4339e25283a041118d4b33cef292c532
7,够,#/entry/zhko/e05e02147a0342698fc6a3b76919d6d1
8,日,#/entry/zhko/578aeeec1ed949d193d0549fa00bad7f
9,案,#/entry/zhko/76339ad3916b4e9283f46924a15064df
10,舞,#/entry/zhko/f90a0ad42f60459d95886b81c9ec64d1
11,决,#/entry/zhko/e57ac556852b453a94a5726c92ba27cf
12,求,#/entry/zhko/131916c3fe77442bba61d71fc7f2fab0
13,约,#/entry/zhko/0c9a7e648c9b480e8fb407ecd517d937
14,字,#/entry/zhko/25cfb7fdbcd04b5abf36bc9956956966
15,呃,#/entry/zhko/9932d3378ab44b60be2dfdf4f286911b
16,肯,#/entry/zhko/1da68fc1f43b4ac686e0d3a038eb9370
17,目,#/entry/zhko/edce84afba48409489f4e4e7608a93a6
18,笑,#/entry/zhko/164e6d9cf5db4d2e8c20a3895d95bac4
19,伤,#/entry/zhko/e4d9b0e7814b4358ac89ee4cf7e0e261
20,神,#/entry/zhko/de3c274e10ac4c0e81fd576372bdf393
21,父,#/entry/zhko/a50b3a7e9ef845eca00120e0dd75f480
22,指,#/entry/zhko/dc9f803a6a744b4481f255a0e97a138f
23,报,#/entry/zhko/1c04684e8c1d4e858cdee0e5d920993b
24,留,#/entry/zhko/f68b043d0efc4c7da0ccc9005a7b2d25
25,水,#/entry/zhko/53f9b2ef150b47be9c82fe4cd732b3e7
26,教,#/entry/zhko/d373b4dc01e243efa2acc5d259b1be46
27,枪,#/entry/zhko/a7a6611babac4b5e8ac7be85bbe085c3
28,清,#/entry/zhko/64f7e8bbf06547b4b50318f78d6a8c28
29,色,#/entry/zhko/958998bc45014ef89ea7687d9a18162d
30,号,#/entry/zhko/c8a3b6d2ee9e4111ba9e991b7613bf90
31,世,#/entry/zhko/a04dd34a7be8425abf6f8ed05bd8bdbe
32,远,#/entry/zhko/3f361bfe4760448aaeda8b57a4fe4c22
33,片,#/entry/zhko/ede4a3f4e94c404685d43344245dd71c
34,官,#/entry/zhko/a23f87f1858046e38b8b159ff404da51
35,口,#/entry/zhko/b5c5253a468b416aaea8cb70ad81ce43
36,师,#/entry/zhko/f91af14096bd424283db79cbbf0205c4
37,原,#/entry/zhko/aa1ac6b5e8674eedbb6aa8ff15ed32b4
38,酒,#/entry/zhko/e13d2c4eda7c4442b5227ba2c5576965
39,周,#/entry/zhko/9b13422c6ea946b784ff57644b112f74
40,星,#/entry/zhko/3991a2a5344e40cbb91d4b08c3e36e26
41,识,#/entry/zhko/57a977bfde6845f78f0c66927ac8ac60
42,赛,#/entry/zhko/112e68c2336a447f97ed9f51c411d28d
43,救,#/entry/zhko/56dc217e21264654a53d3db0f3e38d88
44,底,#/entry/zhko/0f8b604e8b5e41e18f1bf980bc5a7c6a
45,棒,#/entry/zhko/3d838b17ac5d4fb3a81b3eeb2284d22a
46,须,#/entry/zhko/2903df9cff1342a0883a77228e4dcfae
47,收,#/entry/zhko/90a462917c9342febad7c6c7885e184f
48,交,#/entry/zhko/5c8b1a9e6d474c23a71b4bfbb0271e75
49,坐,#/entry/zhko/bb08bc13ae194c5681b04c68e033d1b9
50,停,#/entry/zhko/4131aede5fd94cd29e9751596a714699
51,卡,#/entry/zhko/9dc2152f4d7e4f63aa679d1ded6615b5
52,尼,#/entry/zhko/bf3126e990af45609859b12fbb4994c0
53,婚,#/entry/zhko/630e7875d9c24e0eac1e6eb3e06d0c14
54,格,#/entry/zhko/bff44af4f92b46bca43ea47d85fbdfe1
55,眼,#/entry/zhko/d781d747fc4244c1be97909d67427787
56,金,#/entry/zhko/b8f64b004fa6414298b7d9dd8d732854
57,蛋,#/entry/zhko/a67951d45dc2460190ee03fe0c0cd94c
58,息,#/entry/zhko/dfb1e69179f34b3b949110550aaef31d
