,0,1
0,我,"['HSK 1급 단어', '#/entry/zhko/0cb25d23fd4c4afe9b4cd5a22ccad8ca']"
1,是,"['HSK 2급 단어', '#/entry/zhko/85c86b8461a748118b1e97a6caa4170c', 'HSK 3급 단어', '#/entry/zhko/4a8062522a9d49b0a5ea298fbd5d0bce', 'HSK 4급 단어', '#/entry/zhko/9749ba515f9a4b489854466cb9c585b0', '#/entry/zhko/e3f6db12d1ff422c864e89aa9cfbe3f5', 'HSK 6급 단어', '#/entry/zhko/801d93b4216b49e0af6b17c1208a03e4', '#/entry/zhko/391b748524de45c28134b871d1c2015a', '#/entry/zhko/c3e6eab912dc41509556763f0cb8577d']"
2,了,"['HSK 3급 단어', '#/entry/zhko/507c698794ae462299a3b4c5f84803dd', '#/entry/zhko/ef77d163b2914f90b6228dfe1a087acf']"
3,不,"['HSK 4급 단어', '#/entry/zhko/d13ea7d665204ffeba0fa3864a895862', '#/entry/zhko/e1823250895c4361936ede2a63a42416', 'HSK 5급 단어', '#/entry/zhko/68d5faaea3d6497babe3dbfa58091bb5', '#/entry/zhko/e8ae1ec6b54d414f9965e4b6b8e7cabd', '#/entry/zhko/94507d8046dc4768a8b23c2d921d49e1', '#/entry/zhko/9dec0603aeb24f649403d857d89d267c', '#/entry/zhko/ed7be78bd8e544aabdb79e3c229f3219', '#/entry/zhko/e98439dbde344fa9a58a332e6e319537', 'HSK 6급 단어', '#/entry/zhko/029363b95e4346629860337010b5ca76', '#/entry/zhko/3c9874603ba84855ae773ee9376e6dad', '#/entry/zhko/7266000198374017a77c52cc720585cc', '#/entry/zhko/79482016092045e3849b3009d23606dc', '#/entry/zhko/9d93d07166be4fd581946645ff49a11b', '#/entry/zhko/ab0d748a2a1046b7ba9060466ffbd83e', '#/entry/zhko/c4571f6d43e243d9b59d869e2b1175ce', '#/entry/zhko/0a5a55c052a646748a716b3d0a2eecc9', '#/entry/zhko/0a89468bce9348df92776813fd1880c7', '#/entry/zhko/25176a7f340744aa8740251968c0d150', '#/entry/zhko/2cd85401edda41d8b4a0f0cbae58ab90', '#/entry/zhko/29c8afac0dde4c3ca343f3ba83144a21', '#/entry/zhko/881d5e5692cc44eaa2181604f2e57c44', '#/entry/zhko/c3959f67e5ae4af7942bf99fcd83b679', '#/entry/zhko/01a7f59307814345bfba1ccd466da76f', '#/entry/zhko/28bd635830c24b3ab7f5228b587aed3d', '#/entry/zhko/9dd3cefb1a28464a80202e5d7bf88ba8', '#/entry/zhko/ae15e10174a84234b2aedcda98828f18', '#/entry/zhko/b7e9098b2d7d411a9d6c4aab6463b83f', '#/entry/zhko/caa14215bfe840a48d1c67e7b0a22dc7', '#/entry/zhko/d8b32f7500614f9c8dd5187494bdb114', '#/entry/zhko/020ed2e652e94ba5bae2b85019bd0811', '#/entry/zhko/2350411b01de4518964ee713b38538ca', '#/entry/zhko/825d0a6f312f40729482b4bdb97e12f5', '#/entry/zhko/ca767a11d2ef400fb5bec4ebe865ac78']"
4,们,"['HSK 1급 단어', '#/entry/zhko/0cb25d23fd4c4afe9b4cd5a22ccad8ca', 'HSK 4급 단어', '#/entry/zhko/7e70d03448e84f5f8b58a7546c2e79b1']"
5,一,"['HSK 1급 단어', '#/entry/zhko/900b13b14312432dafdd703f8e77a442', 'HSK 2급 단어', '#/entry/zhko/529955fe11944f9f9103e0533878b8ea', '#/entry/zhko/e502789b258640d78de0f9bf3dda34aa', 'HSK 5급 단어', '#/entry/zhko/5c862fa497a14f0fb4e3dfa4c62b4cd1', '#/entry/zhko/facac10e82074c5885d55d0a29a08c82', '#/entry/zhko/127a699820794e9b8f843887197b730f', 'HSK 6급 단어', '#/entry/zhko/767daf8fffd940509b8443ca26e30271']"
6,他,"['HSK 3급 단어', '#/entry/zhko/38abd7c7099844fc8fff7daa1cf022db']"
7,在,"['HSK 1급 단어', '#/entry/zhko/31d6ddd5c96745769bea4c3ec6c9fb19', 'HSK 2급 단어', '#/entry/zhko/774e374ba925460a9bbe272f77b29dbb', 'HSK 4급 단어', '#/entry/zhko/2adf505efd7f41cdb071267a129796f1', 'HSK 5급 단어', '#/entry/zhko/74f38f1817cf4608a2d9758e0d6de75c', '#/entry/zhko/2cdbc28bb78a49658b0c87e8583f6189', 'HSK 6급 단어', '#/entry/zhko/bc718cec1f774c12ada4e1430335e4b8', '#/entry/zhko/dfacbffcfd2141ac882f34c50a64dcb2']"
8,有,"['HSK 1급 단어', '#/entry/zhko/7c929795efc64491a759e80427275c40', 'HSK 3급 단어', '#/entry/zhko/8b8059510abf47ffb85144d8f28ed6b2', '#/entry/zhko/99232ca4596a4dedaa258f8bb6b42dec', 'HSK 4급 단어', '#/entry/zhko/db312a1a2720464bb8dc1cd6e621a3ea', 'HSK 5급 단어', '#/entry/zhko/d796844ede24411ab3b2172fcee589ac', 'HSK 6급 단어', '#/entry/zhko/df33d26161504ad69c71fa605957b0d7', '#/entry/zhko/0685a016edb7464fb9ff8f4674829a85', '#/entry/zhko/25176a7f340744aa8740251968c0d150', '#/entry/zhko/506f64313de443dbba807614223e0713', '#/entry/zhko/bdc9fb090488433c9ff58147a4e75d33']"
9,个,"['HSK 3급 단어', '#/entry/zhko/5fd22aedb2b24aecb8a68933885c6051', 'HSK 5급 단어', '#/entry/zhko/dc5e363cd7e44d8d94eebfd4bfaf7b03', '#/entry/zhko/539cfd20cb634ca7adda38b215b0cabb', '#/entry/zhko/7bcf623a885643ae928a35ff6aaa0c87', 'HSK 6급 단어', '#/entry/zhko/b4c5e13ed0554aa7857ca36010750674']"
10,好,"['HSK 2급 단어', '#/entry/zhko/38af4b9e3cfc4a4483d05c742f6f3fc9', 'HSK 4급 단어', '#/entry/zhko/3998a33cada44cbe88f60fa39491fda2', '#/entry/zhko/feefa4f7937c476fb0fd2baf3975a2e5', '#/entry/zhko/ee4cc31148a344819ba98eb2397c10dd', '#/entry/zhko/0deae670a6ce46c7a80cdc0ff805f028', '#/entry/zhko/7b36b57c75c2449eaeec418fad0a17e9', '#/entry/zhko/79086efa45424944b49e94b29e657520', 'HSK 5급 단어', '#/entry/zhko/47df2c6c5b984dc7880ddff25d9d03ca', 'HSK 6급 단어', '#/entry/zhko/434378cc19b24bd4bc3ee59929a85a30', '#/entry/zhko/cb424a6c17b34b11a381ca2275af1ade']"
11,来,"['HSK 3급 단어', '#/entry/zhko/927ca7627e6b489abdd798614d8276b0', 'HSK 4급 단어', '#/entry/zhko/45b83b8d427e4389bb7dfb1ca75357ac', '#/entry/zhko/7c627c47c9de4f1984692bd98b7d72ac', '#/entry/zhko/bd2fff7bc7f540df8e4d1190f7fecac4', '#/entry/zhko/a70667d37abc4428a64ad253e598a8aa', '#/entry/zhko/d83171d61fa341029a41837d98b7afc1', '#/entry/zhko/4f010a0b382e48d68eb27dd5936baf61', '#/entry/zhko/bf9e11e1e7d34bf2befa10016e14a9ae', 'HSK 5급 단어', '#/entry/zhko/4476ed32deb749089c385475df70f353', '#/entry/zhko/c9d6a19f21df4351aaca1a1bae0fd649', 'HSK 6급 단어', '#/entry/zhko/ae0901c2f1484ecbb4402b9f38f79403', '#/entry/zhko/d9980eedd2aa4b7797774197d18a737c', '#/entry/zhko/924a607ada5b4647946f2e9f7fbd85cc', '#/entry/zhko/704a558b50e447e19c11093401f630ff', '#/entry/zhko/814ddea34af4449283f8481ed8a9a0a3', '#/entry/zhko/c73c741831f64a3caa2a110a6eeb9f80', '#/entry/zhko/974cd8dbdf074de486f2d1f62dc31c24']"
12,人,"['HSK 3급 단어', '#/entry/zhko/1836984fffa549bdbd54b67afc43cea0', '#/entry/zhko/eaf217edd2c944e08d4aebf38b9899ac', 'HSK 5급 단어', '#/entry/zhko/292faf9f3d914502bbc84d06d074b75e', '#/entry/zhko/67352fd0f2c04630868e03de1e263c24', '#/entry/zhko/8ccd70d0d2ff47249996e48d292157df', '#/entry/zhko/c842505088ef473da17371f20878fbb4', '#/entry/zhko/1eaac659e6194717a8d4ec440f267de3', '#/entry/zhko/8844cb99ee4f47e0a4f04658e6e87f55', '#/entry/zhko/1abb5c5148d1473694803e9ec0c3c830', '#/entry/zhko/f19534c7a50b492a87f5b74def6a78a6', '#/entry/zhko/4d609b47ba574e0684195130d7ea73a3', '#/entry/zhko/7e84c7ff7ee844ec900c4d1f6e362b91', '#/entry/zhko/804a66ad28a34830b7d6102a5a07b7a8', '#/entry/zhko/fd4e81566300439ea8a0acfef0a0907d', '#/entry/zhko/1834118410274d6ea66ae8ba7e968dec', 'HSK 6급 단어', '#/entry/zhko/64e180aeafad41059c541d169275109e', '#/entry/zhko/cff42481faaf4e3298b702734a22939e', '#/entry/zhko/e6cc680ed7284a349ec51850a78ac9ba', '#/entry/zhko/f7acd1deeb7c483dbc8a37856a659e78', '#/entry/zhko/6c0eece0e50142b29c87a3c7ac494e28', '#/entry/zhko/cf953fa1200841c6b48e1be8b70cdc11', '#/entry/zhko/006b9e14617a4675928578a5099c2a8b', '#/entry/zhko/c183b5fc34414ece8c0d1982c217a874', '#/entry/zhko/1de87b054ca54264a3524a324bb0ecdb', '#/entry/zhko/348532b1cfa946db886885e29d33f316', '#/entry/zhko/61cd90c0547d4400877033b20ce46e5f', '#/entry/zhko/72157a3c6e974d3d8319e4122438c57b', '#/entry/zhko/c89f60e574a84c35b71544d75c5932cd', '#/entry/zhko/ec119ef42bc448f5b1ba1c6063e7f9c1']"
13,那,"['HSK 6급 단어', '#/entry/zhko/98268472c0cf4ab3b2aaf8ec54e78054']"
