,0,1
0,入,"['HSK 4급 단어', '#/entry/zhko/9aa2371c76d240058aad2dd27dc0c4c3', '#/entry/zhko/9c7fbde5d69d42db900a962ff5a0fae2', 'HSK 5급 단어', '#/entry/zhko/f7c52c81517c4d0c90862502136147d9', '#/entry/zhko/a75693f3ca23481fb59cb6663c1d8319', 'HSK 6급 단어', '#/entry/zhko/8c9042a51bf7410a928d78e01ffab6c3']"
1,照,"['HSK 3급 단어', '#/entry/zhko/5a8705e12b7542c7a6788a8181305957', '#/entry/zhko/9bd4f2a3bd4e425dba1b7aaa30ef9ea9', '#/entry/zhko/64dd88bbe1f548318e1eba172267ee41', 'HSK 4급 단어', '#/entry/zhko/a22f5bce023748c4b3b7a2458e65c922', 'HSK 5급 단어', '#/entry/zhko/fc02afeaac8747ee87de82017cee9207', '#/entry/zhko/0965bdc2f16f4d1cbce233d912033f5d', 'HSK 6급 단어', '#/entry/zhko/032899b7ba9940a4b4d45d83d913895f', '#/entry/zhko/b06cbc35b4d240c89c644cce2efe4af8', '#/entry/zhko/c2779b82006741e9a583f9ed92f33461', '#/entry/zhko/5ee4a1ebb6304be4882d050bfe9a3451', '#/entry/zhko/aa26c68a2ee3468c9cfb65dff1cb02b2']"
2,提,"['HSK 3급 단어', '#/entry/zhko/52ca726325c643c1bb0f6d59b84fb6ba', 'HSK 4급 단어', '#/entry/zhko/ddde0122861b47dbbbd0dd4b772bba5c', '#/entry/zhko/43d6ce923f3e4f2fb91b0a8e1550c83d', '#/entry/zhko/63011a10b0e0467a8897842b3c296ee4', 'HSK 5급 단어', '#/entry/zhko/50914eb518b1495a84419c46ef38d749', '#/entry/zhko/b305990368b549ce8a7fec0c28ec66c4', '#/entry/zhko/52318934358b49f5987b5f96589b5e75', 'HSK 6급 단어', '#/entry/zhko/80408b8621544ca49024036c5cbf1739', '#/entry/zhko/700bf60768d24a5fb9ed1bc95778c941', '#/entry/zhko/9fb228fe570049ce88851ad7c24d0e8e', '#/entry/zhko/bd878b4e4c6145d78add4afd1dd9b930', '#/entry/zhko/583f039cdb424225a8e2c5979c530c9e']"
3,夫,"['HSK 2급 단어', '#/entry/zhko/b08c12c6d142483ebe422b46bc720caa', 'HSK 4급 단어', '#/entry/zhko/6e0f8219b45e434296be1b5eab9233ab', 'HSK 6급 단어', '#/entry/zhko/52eb3ac5f78848d098339c98a4612647']"
4,路,"['HSK 4급 단어', '#/entry/zhko/cc1ecd47c00a4f79a3a9feabb4d66bbb', '#/entry/zhko/0b132cea0f37404a9b093e1c9112cfbb', 'HSK 6급 단어', '#/entry/zhko/c850413d99e54f02aead7661731ffdc4']"
5,演,"['HSK 4급 단어', '#/entry/zhko/18d28338ad5f4fa18ddc11432c626459', '#/entry/zhko/bdb526981e32480cb1137a05da523881', '#/entry/zhko/bf91ee7d2a174260bc6ba3d266a7fc85', 'HSK 5급 단어', '#/entry/zhko/313dca1eaaa741e9b29a43aab27efc31', '#/entry/zhko/f809c461a20e4238b38a5b9cb5758b39', 'HSK 6급 단어', '#/entry/zhko/950d36cc5def4b36804e4e2dc77b07ff', '#/entry/zhko/5a3c0da0a9fb4d6eb0cc2ae6f1dfc65c', '#/entry/zhko/6cdecdd2335d41c5ba9257916517b201', '#/entry/zhko/31d3d25153084664a3efac0aad232675', '#/entry/zhko/927b7baf86974bf782a1e2a5fc7a54ff']"
6,日,"['HSK 2급 단어', '#/entry/zhko/34ab8a320e0b44fba22de71845937bd1', 'HSK 3급 단어', '#/entry/zhko/62b9f41870fb46948c70f934e7a603db', 'HSK 4급 단어', '#/entry/zhko/f29347cde70a4c8fa17674f1ed5103c4', 'HSK 5급 단어', '#/entry/zhko/c5370cfe63d64029abf863df501ce209', '#/entry/zhko/f8ff8fb99c2e48e9a4fcac80479cd58e', '#/entry/zhko/1d7dcba71941461eb38cb204e14e1bd0', '#/entry/zhko/6f13bf0c64c241308ebb2451413d08e6', '#/entry/zhko/6dcadac24aca494d8753ff7b6fd0eb30', '#/entry/zhko/7251e868c75b4beb9806f9b24f2bde94', 'HSK 6급 단어', '#/entry/zhko/33b2ac6e51a84fa2a8bd8ec9a4f8a91a', '#/entry/zhko/2336af5c58f64d3491c2c74398ace29e', '#/entry/zhko/2811a395ee264a0a85169ca136b69740', '#/entry/zhko/4c4b66b6be94463c8a97640d8cef0cf6']"
7,案,"['HSK 4급 단어', '#/entry/zhko/1c9b39c972804e359058e6a36dd79f5f', 'HSK 5급 단어', '#/entry/zhko/ee6d03c5f4f549a9b4a0097d9231b88f', 'HSK 6급 단어', '#/entry/zhko/2651a27d82ef4b26a3171588e71d1f55', '#/entry/zhko/b31b637736b34f1f933215f53aab647e', '#/entry/zhko/511d46ff389a41e8954fa26960dfdd70']"
8,舞,"['HSK 2급 단어', '#/entry/zhko/5c7044a0875e42e09a3c8b949c62f45e', 'HSK 5급 단어', '#/entry/zhko/96163093e1ba48208f0e6abce1c1e146', 'HSK 6급 단어', '#/entry/zhko/7f0800ae017143c38bf2bfecbb76c41f']"
9,决,"['HSK 3급 단어', '#/entry/zhko/b91762fadec74e9b9b4304d63a0e56dc', 'HSK 5급 단어', '#/entry/zhko/26deae508b2c415fad152b9df27b4b95', '#/entry/zhko/6da517d8a0054ceb8915e67b80fb8d94', '#/entry/zhko/dc60231f6bd442a79704ec42c924fb33', 'HSK 6급 단어', '#/entry/zhko/37615d79f4b44404bcc0e156a398f2c6', '#/entry/zhko/b7f1740b94f944ba930f52f7ec80e1d0', '#/entry/zhko/d4b8cf2571984a7cba527e605bccb969']"
